#Wave,F444W
#micron,el/phot
2.092127626999999990e+00,6.519144902946143545e-10
2.093735718999999662e+00,7.539553157581220594e-10
2.095343811000000223e+00,8.795885372877574577e-10
2.096951903000000339e+00,1.021828113458148113e-09
2.098559995000000011e+00,1.191396094154116334e-09
2.100168087000000128e+00,1.396089579172325638e-09
2.101776178999999800e+00,1.626525802697324383e-09
2.103384270999999917e+00,1.900470185653806090e-09
2.104992363000000033e+00,2.211039766820935481e-09
2.106600454999999705e+00,2.541116908414480154e-09
2.108208547000000266e+00,2.903179413499235335e-09
2.109816638999999938e+00,3.270010330221360132e-09
2.111424731000000055e+00,3.626007235789415434e-09
2.113032823000000171e+00,3.941434711012233941e-09
2.114640914999999843e+00,4.182679860022467540e-09
2.116249006999999960e+00,4.372604768836890512e-09
2.117857098999999632e+00,4.459383558598407901e-09
2.119465190999999749e+00,4.482513944423210432e-09
2.121073283000000309e+00,4.449437696396145693e-09
2.122681374999999981e+00,4.366982923496329008e-09
2.124289466000000015e+00,4.237527149159121554e-09
2.125897558000000132e+00,4.105782346231987775e-09
2.127505650000000248e+00,3.966825371510786962e-09
2.129113741999999920e+00,3.818033114580034838e-09
2.130721834000000037e+00,3.678905785670928063e-09
2.132329925999999709e+00,3.540089671299780228e-09
2.133938017999999825e+00,3.407313233300985839e-09
2.135546110000000386e+00,3.287001571614141311e-09
2.137154202000000058e+00,3.191534063066293940e-09
2.138762294000000175e+00,3.100293815632370881e-09
2.140370385999999847e+00,3.027607981324189756e-09
2.141978477999999964e+00,2.956370558718058451e-09
2.143586570000000080e+00,2.907690625841513697e-09
2.145194661999999752e+00,2.864307626299328352e-09
2.146802753999999869e+00,2.823918924051586529e-09
2.148410846000000429e+00,2.787912623796494551e-09
2.150018938000000102e+00,2.757142767246118032e-09
2.151627030000000218e+00,2.735372191778013012e-09
2.153235121999999890e+00,2.727422657961770657e-09
2.154843214000000007e+00,2.727091444322817491e-09
2.156451305000000040e+00,2.740005854689881897e-09
2.158059397000000157e+00,2.752672335208850622e-09
2.159667488999999829e+00,2.780666462098269792e-09
2.161275580999999946e+00,2.818560457352886192e-09
2.162883672999999618e+00,2.852532602924247117e-09
2.164491765000000179e+00,2.900681096676732298e-09
2.166099857000000295e+00,2.953213571150261603e-09
2.167707948999999967e+00,3.008247143877629882e-09
2.169316041000000084e+00,3.068378260898788614e-09
2.170924133000000200e+00,3.127910230664205143e-09
2.172532224999999872e+00,3.205484946450666741e-09
2.174140316999999989e+00,3.288126601922843423e-09
2.175748408999999661e+00,3.380064717021452838e-09
2.177356501000000222e+00,3.479610834458547257e-09
2.178964593000000338e+00,3.587421861473562310e-09
2.180572685000000011e+00,3.707468701514986894e-09
2.182180777000000127e+00,3.837627885670645884e-09
2.183788868999999799e+00,3.984087206077164416e-09
2.185396960999999916e+00,4.151672014396793403e-09
2.187005053000000032e+00,4.325323106786994040e-09
2.188613144999999705e+00,4.519774063224993458e-09
2.190221235999999738e+00,4.735218424537958030e-09
2.191829327999999855e+00,4.975603331211228793e-09
2.193437420000000415e+00,5.242034493469477853e-09
2.195045512000000087e+00,5.537784742898305933e-09
2.196653604000000204e+00,5.881345308253959615e-09
2.198261695999999876e+00,6.271147427407797659e-09
2.199869787999999993e+00,6.716855968700300675e-09
2.201477880000000109e+00,7.250512826219959560e-09
2.203085971999999781e+00,7.854154260741154415e-09
2.204694063999999898e+00,8.554453616129446925e-09
2.206302156000000014e+00,9.368600209976763665e-09
2.207910248000000131e+00,1.032227337357054960e-08
2.209518340000000247e+00,1.146807091042217458e-08
2.211126431999999919e+00,1.281797123952071778e-08
2.212734524000000036e+00,1.445608707069965815e-08
2.214342615999999708e+00,1.649814273833466381e-08
2.215950707999999825e+00,1.900562352819026797e-08
2.217558799999999941e+00,2.222453712938088477e-08
2.219166892000000058e+00,2.622566680976432687e-08
2.220774984000000174e+00,3.117534753160725561e-08
2.222383075000000208e+00,3.711458956409615274e-08
2.223991167000000324e+00,4.366738184084013275e-08
2.225599258999999996e+00,4.987221981087194457e-08
2.227207351000000113e+00,5.504861702545308113e-08
2.228815442999999785e+00,5.857636409030925468e-08
2.230423534999999902e+00,6.081466791397089258e-08
2.232031627000000018e+00,6.245423560374141096e-08
2.233639718999999690e+00,6.422853497186294816e-08
2.235247811000000251e+00,6.670140437160748147e-08
2.236855902999999923e+00,7.023199299325136186e-08
2.238463995000000040e+00,7.503425181699909722e-08
2.240072087000000156e+00,8.115389772653095336e-08
2.241680178999999828e+00,8.919317735799820072e-08
2.243288270999999945e+00,9.903138691725219609e-08
2.244896362999999617e+00,1.112115191595775983e-07
2.246504454999999734e+00,1.259064208118689609e-07
2.248112547000000294e+00,1.432307625823567017e-07
2.249720638999999967e+00,1.638034558270985138e-07
2.251328731000000083e+00,1.878382152014875421e-07
2.252936823000000199e+00,2.149315096907616691e-07
2.254544914000000233e+00,2.455863062753707399e-07
2.256153005999999905e+00,2.791058483810085909e-07
2.257761098000000022e+00,3.153887100978881033e-07
2.259369189999999694e+00,3.534166484110145993e-07
2.260977281999999811e+00,3.933088832032476111e-07
2.262585373999999927e+00,4.336793437245404442e-07
2.264193466000000043e+00,4.740267845458238465e-07
2.265801558000000160e+00,5.138621159853980749e-07
2.267409650000000276e+00,5.517916522739365468e-07
2.269017741999999949e+00,5.880829386354282080e-07
2.270625834000000065e+00,6.225834384285868503e-07
2.272233925999999737e+00,6.548855907626609485e-07
2.273842017999999854e+00,6.861355452991499754e-07
2.275450110000000414e+00,7.155548326314082467e-07
2.277058202000000087e+00,7.442797117641607281e-07
2.278666294000000203e+00,7.714460148034005688e-07
